run_id,melee_kills,magic_kills,melee_hits,magic_hits,damage_taken,damage_dealt,deaths,time_alive,weapon,spell,boots,armor,enemy_hp_mult,enemy_dmg_mult,enemy_speed_mult,spawn_count,heal_on_kill_base
run_52193,0,0,3,0,105.0,42.0,1,8.337,Hatchet,Hex Spike,Sprint Greaves,Chain Shirt,1.0,1.0,1.0,6,8
run_52193,0,0,3,0,105.0,42.0,1,8.337,Hatchet,Hex Spike,Sprint Greaves,Chain Shirt,1.0,1.0,1.0,6,8
run_92088,0,0,0,2,104.0,16.0,1,17.396,Rapier,Ice Needle,Voidstep Treads,Blood Harness,1.0,1.0,1.0,6,8
run_92088,0,0,0,2,104.0,16.0,1,17.396,Rapier,Ice Needle,Voidstep Treads,Blood Harness,1.0,1.0,1.0,6,8
run_38714,0,0,0,0,104.0,0.0,1,2.367,Rusty Blade,Hex Spike,Leather Boots,Blood Harness,1.0,1.0,1.0,6,8
run_23910,1,2,6,8,127.5,166.0,1,70.996,Rapier,Hex Spike,Leather Boots,Cloth Wrap,1.0,1.0,1.0,6,8
run_23910,1,2,6,8,127.5,166.0,1,70.996,Rapier,Hex Spike,Leather Boots,Cloth Wrap,1.0,1.0,1.0,6,8
run_63682,0,0,0,0,105.0,0.0,1,2.539,Rusty Blade,Ice Needle,Sprint Greaves,Chain Shirt,1.0,1.0,1.0,6,8
run_63682,0,0,0,0,105.0,0.0,1,2.539,Rusty Blade,Ice Needle,Sprint Greaves,Chain Shirt,1.0,1.0,1.0,6,8
run_30484,0,0,0,0,104.0,0.0,1,2.22,Rapier,Ember Bolt,Leather Boots,Blood Harness,1.0,1.0,1.0,6,8
run_30484,0,0,0,0,104.0,0.0,1,2.22,Rapier,Ember Bolt,Leather Boots,Blood Harness,1.0,1.0,1.0,6,8
run_10549,0,0,7,0,104.0,77.0,1,12.165,Rusty Blade,Hex Spike,Sprint Greaves,Blood Harness,1.0,1.0,1.0,6,8
run_10549,0,0,7,0,104.0,77.0,1,12.165,Rusty Blade,Hex Spike,Sprint Greaves,Blood Harness,1.0,1.0,1.0,6,8
run_34044,6,0,23,2,153.0,269.0,1,31.43,Rusty Blade,Ice Needle,Leather Boots,Cloth Wrap,1.0,1.0,1.0,6,8
run_34044,6,0,23,2,153.0,269.0,1,31.43,Rusty Blade,Ice Needle,Leather Boots,Cloth Wrap,1.0,1.0,1.0,6,8
run_67336,14,1,26,13,23.77,372.0,0,67.523,Rusty Blade,Ice Needle,Sprint Greaves,Cloth Wrap,0.4,0.3,0.25,1,8
